Country,GDP.Per.Capita,Corruption.Perception.Index
Afghanistan,585.8500638,15
Albania,4537.862492,38
Algeria,4123.389937,33
Angola,4170.31228,19
Argentina,14401.97485,39
Armenia,3936.79832,35
Australia,53799.93809,77
Austria,47290.91165,75
Azerbaijan,4131.61831,31
"Bahamas, The",30762.01244,65
Bahrain,23655.0356,36
Bangladesh,1516.513423,28
Barbados,16788.68392,68
Belarus,5726.029673,44
Belgium,43323.80734,75
Benin,829.7972306,39
Bhutan,3110.230113,67
Bolivia,3393.955818,33
Bosnia and Herzegovina,5180.636301,38
Botswana,7595.59585,61
Brazil,9821.407686,37
Brunei Darussalam,28290.5852,62
Bulgaria,8031.598442,43
Burkina Faso,670.7059131,42
Burundi,320.0868701,22
Cabo Verde,3209.69112,55
Cambodia,1384.423187,21
Cameroon,1446.702895,25
Canada,45032.11991,82
Central African Republic,418.411287,23
Chad,669.8864259,20
Chile,15346.4497,67
China,8826.994096,41
Colombia,6301.589878,37
Comoros,797.2863685,27
"Congo, Dem. Rep.",457.8473868,21
"Congo, Rep.",1658.043625,21
Costa Rica,11630.6684,59
Cote d'Ivoire,1662.442467,36
Croatia,13294.51493,49
Cyprus,25233.57098,57
Czech Republic,20368.13856,57
Denmark,56307.5083,88
Djibouti,1927.589706,31
Dominica,7609.614349,57
Dominican Republic,7052.258839,29
Ecuador,6198.947323,32
"Egypt, Arab Rep.",2412.727082,32
El Salvador,3889.308769,33
Equatorial Guinea,9850.013585,17
Estonia,19704.65504,71
Ethiopia,767.5634778,35
Finland,45703.32787,85
France,38476.65864,70
Gabon,7220.687235,32
"Gambia, The",483.0224586,30
Georgia,4078.254879,56
Germany,44469.90906,81
Ghana,1641.486625,40
Greece,18613.42387,48
Grenada,10376.22703,52
Guatemala,4470.989572,28
Guinea,825.3449298,27
Guinea-Bissau,723.6586216,17
Guyana,4725.319063,38
Haiti,765.6839246,22
Honduras,2480.125929,29
"Hong Kong SAR, China",46193.61452,77
Hungary,14224.84646,45
Iceland,70056.87339,77
India,1939.612984,40
Indonesia,3846.864323,37
"Iran, Islamic Rep.",5415.209635,30
Iraq,5165.714157,18
Ireland,69330.69015,74
Israel,40270.25135,62
Italy,31952.97592,50
Jamaica,5109.552649,44
Japan,38428.09732,73
Jordan,4129.751671,48
Kazakhstan,8837.457302,31
Kenya,1507.814864,28
"Korea, Rep.",29742.83886,54
Kosovo,3893.969824,39
Kuwait,29040.36371,39
Kyrgyz Republic,1219.824048,29
Lao PDR,2457.376266,29
Latvia,15594.28602,58
Lebanon,8523.74955,28
Lesotho,1181.811759,42
Liberia,456.0530154,31
Libya,7998.028819,17
Lithuania,16680.6781,59
Luxembourg,104103.0367,82
"Macedonia, FYR",5442.609944,35
Madagascar,449.7223819,24
Malawi,338.4836424,31
Malaysia,9944.9043,47
Maldives,10535.7947,33
Mali,824.5162257,31
Malta,26945.98388,56
Mauritania,1136.763975,28
Mauritius,10547.21683,50
Mexico,8902.830823,29
Moldova,2289.877719,31
Mongolia,3735.164302,36
Montenegro,7669.571906,46
Morocco,3007.242877,40
Mozambique,415.7177167,25
Myanmar,1298.881989,30
Namibia,5227.18001,51
Nepal,835.0798466,31
Netherlands,48223.15549,82
New Zealand,42940.57829,89
Nicaragua,2221.806445,26
Niger,378.0603077,33
Nigeria,1968.557681,27
Norway,75504.56626,85
Oman,15668.36663,44
Pakistan,1547.853414,32
Panama,15087.68163,37
Papua New Guinea,2555.853162,29
Paraguay,4365.526162,29
Peru,6571.928645,37
Philippines,2988.952703,34
Poland,13811.66424,60
Portugal,21136.29721,63
Qatar,63505.80525,63
Romania,10813.7166,48
Russian Federation,10743.09659,29
Rwanda,748.39326,55
Sao Tome and Principe,1912.970722,46
Saudi Arabia,20760.90601,49
Senegal,1033.069906,45
Serbia,5900.038108,41
Seychelles,15504.46446,60
Sierra Leone,499.4262954,30
Singapore,57714.29663,84
Slovak Republic,17604.95098,50
Slovenia,23597.29173,61
Solomon Islands,2132.115058,39
Somalia,499.8168017,9
South Africa,6160.734569,43
Spain,28156.81584,57
Sri Lanka,4065.224874,38
St. Lucia,9574.302496,55
St. Vincent and the Grenadines,7185.179119,58
Sudan,2898.549346,16
Suriname,5900.556486,41
Sweden,53442.00828,84
Switzerland,80189.69686,85
Tajikistan,800.9669641,21
Tanzania,936.330768,36
Thailand,6593.819806,37
Timor-Leste,2279.253204,38
Togo,617.1766097,32
Trinidad and Tobago,16145.18457,41
Tunisia,3490.828293,42
Turkey,10540.618,40
Turkmenistan,7355.831345,19
Uganda,604.0427482,26
Ukraine,2639.824326,30
United Arab Emirates,40698.84934,71
United Kingdom,39720.44343,82
United States,59531.66196,75
Uruguay,16245.59837,70
Uzbekistan,1504.226546,22
Vanuatu,3123.614592,43
Vietnam,2343.124575,35
Zambia,1509.797013,37
Zimbabwe,1079.608291,22
